period,region,demand,lag_1,lag_7,lag_14
2025-05-12,Manhattan,210479,228813.0,244223.0,
2025-05-12,Queens,136922,158434.0,149438.0,
2025-05-12,Staten Island,9772,9454.0,10406.0,
2025-05-13,Bronx,78642,76706.0,81083.0,
2025-05-13,Brooklyn,153398,141486.0,152576.0,
2025-05-13,EWR,0,0.0,0.0,
2025-05-13,Manhattan,252339,210479.0,252800.0,
2025-05-13,Queens,134977,136922.0,136467.0,
2025-05-13,Staten Island,10086,9772.0,10216.0,
2025-05-14,Bronx,87080,78642.0,82265.0,
2025-05-14,Brooklyn,181143,153398.0,155969.0,
2025-05-14,EWR,0,0.0,0.0,
2025-05-14,Manhattan,291494,252339.0,248398.0,
2025-05-14,Queens,149579,134977.0,138206.0,
2025-05-14,Staten Island,11164,10086.0,10497.0,
2025-05-15,Bronx,87391,87080.0,87891.0,87491.0
2025-05-15,Brooklyn,172959,181143.0,171143.0,170991.0
2025-05-15,EWR,0,0.0,1.0,0.0
2025-05-15,Manhattan,268215,291494.0,265929.0,258993.0
2025-05-15,Queens,148411,149579.0,143312.0,145882.0
2025-05-15,Staten Island,11042,11164.0,11292.0,11351.0
2025-05-16,Bronx,96476,87391.0,102531.0,100552.0
2025-05-16,Brooklyn,202692,172959.0,209621.0,197390.0
2025-05-16,EWR,0,0.0,0.0,0.0
2025-05-16,Manhattan,271932,268215.0,293240.0,276481.0
2025-05-16,Queens,165178,148411.0,170204.0,158155.0
2025-05-16,Staten Island,12412,11042.0,12443.0,12592.0
2025-05-17,Bronx,93492,96476.0,95353.0,96199.0
2025-05-17,Brooklyn,239062,202692.0,219695.0,235605.0
2025-05-17,EWR,0,0.0,0.0,0.0
2025-05-17,Manhattan,283516,271932.0,279309.0,303993.0
2025-05-17,Queens,166592,165178.0,163637.0,156016.0
2025-05-17,Staten Island,11323,12412.0,11521.0,11335.0
2025-05-18,Bronx,79684,93492.0,91046.0,78386.0
2025-05-18,Brooklyn,202528,239062.0,197032.0,202929.0
2025-05-18,EWR,0,0.0,0.0,0.0
2025-05-18,Manhattan,227775,283516.0,228813.0,232571.0
2025-05-18,Queens,152589,166592.0,158434.0,147964.0
2025-05-18,Staten Island,8746,11323.0,9454.0,8631.0
2025-05-19,Bronx,76093,79684.0,76706.0,87954.0
2025-05-19,Brooklyn,148769,202528.0,141486.0,165239.0
2025-05-19,EWR,0,0.0,0.0,0.0
2025-05-19,Manhattan,211488,227775.0,210479.0,244223.0
2025-05-19,Queens,139329,152589.0,136922.0,149438.0
2025-05-19,Staten Island,9742,8746.0,9772.0,10406.0
2025-05-20,Bronx,78088,76093.0,78642.0,81083.0
2025-05-20,Brooklyn,150777,148769.0,153398.0,152576.0
2025-05-20,EWR,0,0.0,0.0,0.0
2025-05-20,Manhattan,237669,211488.0,252339.0,252800.0
2025-05-20,Queens,133948,139329.0,134977.0,136467.0
2025-05-20,Staten Island,10098,9742.0,10086.0,10216.0
2025-05-21,Bronx,85180,78088.0,87080.0,82265.0
2025-05-21,Brooklyn,180843,150777.0,181143.0,155969.0
2025-05-21,EWR,0,0.0,0.0,0.0
2025-05-21,Manhattan,273584,237669.0,291494.0,248398.0
2025-05-21,Queens,146941,133948.0,149579.0,138206.0
2025-05-21,Staten Island,10913,10098.0,11164.0,10497.0
2025-05-22,Bronx,89222,85180.0,87391.0,87891.0
2025-05-22,Brooklyn,186961,180843.0,172959.0,171143.0
2025-05-22,EWR,0,0.0,0.0,1.0
2025-05-22,Manhattan,269115,273584.0,268215.0,265929.0
2025-05-22,Queens,159092,146941.0,148411.0,143312.0
2025-05-22,Staten Island,11825,10913.0,11042.0,11292.0
2025-05-23,Bronx,96263,89222.0,96476.0,102531.0
2025-05-23,Brooklyn,192882,186961.0,202692.0,209621.0
2025-05-23,EWR,0,0.0,0.0,0.0
2025-05-23,Manhattan,242429,269115.0,271932.0,293240.0
2025-05-23,Queens,163302,159092.0,165178.0,170204.0
2025-05-23,Staten Island,11976,11825.0,12412.0,12443.0
2025-05-24,Bronx,87242,96263.0,93492.0,95353.0
2025-05-24,Brooklyn,201040,192882.0,239062.0,219695.0
2025-05-24,EWR,0,0.0,0.0,0.0
2025-05-24,Manhattan,233479,242429.0,283516.0,279309.0
2025-05-24,Queens,152464,163302.0,166592.0,163637.0
2025-05-24,Staten Island,10267,11976.0,11323.0,11521.0
2025-05-25,Bronx,82125,87242.0,79684.0,91046.0
2025-05-25,Brooklyn,190374,201040.0,202528.0,197032.0
2025-05-25,EWR,0,0.0,0.0,0.0
2025-05-25,Manhattan,204866,233479.0,227775.0,228813.0
2025-05-25,Queens,147376,152464.0,152589.0,158434.0
2025-05-25,Staten Island,9095,10267.0,8746.0,9454.0
2025-05-26,Bronx,65712,82125.0,76093.0,76706.0
2025-05-26,Brooklyn,153821,190374.0,148769.0,141486.0
2025-05-26,EWR,0,0.0,0.0,0.0
2025-05-26,Manhattan,161975,204866.0,211488.0,210479.0
2025-05-26,Queens,132259,147376.0,139329.0,136922.0
2025-05-26,Staten Island,7781,9095.0,9742.0,9772.0
2025-05-27,Bronx,76281,65712.0,78088.0,78642.0
2025-05-27,Brooklyn,146072,153821.0,150777.0,153398.0
2025-05-27,EWR,0,0.0,0.0,0.0
2025-05-27,Manhattan,199645,161975.0,237669.0,252339.0
2025-05-27,Queens,134158,132259.0,133948.0,134977.0
2025-05-27,Staten Island,9775,7781.0,10098.0,10086.0
2025-05-28,Bronx,83038,76281.0,85180.0,87080.0
2025-05-28,Brooklyn,168463,146072.0,180843.0,181143.0
2025-05-28,EWR,0,0.0,0.0,0.0
2025-05-28,Manhattan,246829,199645.0,273584.0,291494.0
2025-05-28,Queens,139974,134158.0,146941.0,149579.0
2025-05-28,Staten Island,10793,9775.0,10913.0,11164.0
2025-05-29,Bronx,86652,83038.0,89222.0,87391.0
2025-05-29,Brooklyn,168246,168463.0,186961.0,172959.0
2025-05-29,EWR,0,0.0,0.0,0.0
2025-05-29,Manhattan,254381,246829.0,269115.0,268215.0
2025-05-29,Queens,142381,139974.0,159092.0,148411.0
2025-05-29,Staten Island,10798,10793.0,11825.0,11042.0
2025-05-30,Bronx,97345,86652.0,96263.0,96476.0
2025-05-30,Brooklyn,193433,168246.0,192882.0,202692.0
2025-05-30,EWR,0,0.0,0.0,0.0
2025-05-30,Manhattan,262347,254381.0,242429.0,271932.0
2025-05-30,Queens,154768,142381.0,163302.0,165178.0
2025-05-30,Staten Island,12426,10798.0,11976.0,12412.0
2025-05-31,Bronx,92593,97345.0,87242.0,93492.0
2025-05-31,Brooklyn,217055,193433.0,201040.0,239062.0
2025-05-31,EWR,0,0.0,0.0,0.0
2025-05-31,Manhattan,288005,262347.0,233479.0,283516.0
2025-05-31,Queens,159229,154768.0,152464.0,166592.0
2025-05-31,Staten Island,10812,12426.0,10267.0,11323.0
2025-06-01,Bronx,78554,92593.0,82125.0,79684.0
2025-06-01,Brooklyn,188240,217055.0,190374.0,202528.0
2025-06-01,EWR,0,0.0,0.0,0.0
2025-06-01,Manhattan,225285,288005.0,204866.0,227775.0
2025-06-01,Queens,150050,159229.0,147376.0,152589.0
2025-06-01,Staten Island,8646,10812.0,9095.0,8746.0
2025-06-02,Bronx,74583,78554.0,65712.0,76093.0
2025-06-02,Brooklyn,131706,188240.0,153821.0,148769.0
2025-06-02,EWR,0,0.0,0.0,0.0
2025-06-02,Manhattan,200253,225285.0,161975.0,211488.0
2025-06-02,Queens,132088,150050.0,132259.0,139329.0
2025-06-02,Staten Island,9258,8646.0,7781.0,9742.0
2025-06-03,Bronx,78341,74583.0,76281.0,78088.0
2025-06-03,Brooklyn,136354,131706.0,146072.0,150777.0
2025-06-03,EWR,0,0.0,0.0,0.0
2025-06-03,Manhattan,231197,200253.0,199645.0,237669.0
2025-06-03,Queens,128669,132088.0,134158.0,133948.0
2025-06-03,Staten Island,9733,9258.0,9775.0,10098.0
2025-06-04,Bronx,86252,78341.0,83038.0,85180.0
2025-06-04,Brooklyn,162218,136354.0,168463.0,180843.0
2025-06-04,EWR,0,0.0,0.0,0.0
2025-06-04,Manhattan,248323,231197.0,246829.0,273584.0
2025-06-04,Queens,140646,128669.0,139974.0,146941.0
2025-06-04,Staten Island,11033,9733.0,10793.0,10913.0
2025-06-05,Bronx,90402,86252.0,86652.0,89222.0
2025-06-05,Brooklyn,176055,162218.0,168246.0,186961.0
2025-06-05,EWR,0,0.0,0.0,0.0
2025-06-05,Manhattan,258852,248323.0,254381.0,269115.0
2025-06-05,Queens,145188,140646.0,142381.0,159092.0
2025-06-05,Staten Island,10921,11033.0,10798.0,11825.0
2025-06-06,Bronx,95325,90402.0,97345.0,96263.0
2025-06-06,Brooklyn,189552,176055.0,193433.0,192882.0
2025-06-06,EWR,0,0.0,0.0,0.0
2025-06-06,Manhattan,240713,258852.0,262347.0,242429.0
2025-06-06,Queens,161019,145188.0,154768.0,163302.0
2025-06-06,Staten Island,11738,10921.0,12426.0,11976.0
2025-06-07,Bronx,89109,95325.0,92593.0,87242.0
2025-06-07,Brooklyn,222452,189552.0,217055.0,201040.0
2025-06-07,EWR,0,0.0,0.0,0.0
2025-06-07,Manhattan,273173,240713.0,288005.0,233479.0
2025-06-07,Queens,165508,161019.0,159229.0,152464.0
2025-06-07,Staten Island,11050,11738.0,10812.0,10267.0
2025-06-08,Bronx,78868,89109.0,78554.0,82125.0
2025-06-08,Brooklyn,195431,222452.0,188240.0,190374.0
2025-06-08,EWR,0,0.0,0.0,0.0
2025-06-08,Manhattan,216277,273173.0,225285.0,204866.0
2025-06-08,Queens,154780,165508.0,150050.0,147376.0
2025-06-08,Staten Island,8906,11050.0,8646.0,9095.0
2025-06-09,Bronx,75082,78868.0,74583.0,65712.0
2025-06-09,Brooklyn,151456,195431.0,131706.0,153821.0
2025-06-09,EWR,0,0.0,0.0,0.0
2025-06-09,Manhattan,214471,216277.0,200253.0,161975.0
2025-06-09,Queens,137481,154780.0,132088.0,132259.0
2025-06-09,Staten Island,9704,8906.0,9258.0,7781.0
2025-06-10,Bronx,78246,75082.0,78341.0,76281.0
2025-06-10,Brooklyn,156295,151456.0,136354.0,146072.0
2025-06-10,EWR,0,0.0,0.0,0.0
2025-06-10,Manhattan,243916,214471.0,231197.0,199645.0
2025-06-10,Queens,134148,137481.0,128669.0,134158.0
2025-06-10,Staten Island,9841,9704.0,9733.0,9775.0
2025-06-11,Bronx,81200,78246.0,86252.0,83038.0
2025-06-11,Brooklyn,165026,156295.0,162218.0,168463.0
2025-06-11,EWR,0,0.0,0.0,0.0
2025-06-11,Manhattan,243602,243916.0,248323.0,246829.0
2025-06-11,Queens,137485,134148.0,140646.0,139974.0
2025-06-11,Staten Island,10529,9841.0,11033.0,10793.0
2025-06-12,Bronx,88921,81200.0,90402.0,86652.0
2025-06-12,Brooklyn,181606,165026.0,176055.0,168246.0
2025-06-12,EWR,0,0.0,0.0,0.0
2025-06-12,Manhattan,255824,243602.0,258852.0,254381.0
2025-06-12,Queens,145941,137485.0,145188.0,142381.0
2025-06-12,Staten Island,11616,10529.0,10921.0,10798.0
2025-06-13,Bronx,98391,88921.0,95325.0,97345.0
2025-06-13,Brooklyn,195869,181606.0,189552.0,193433.0
2025-06-13,EWR,0,0.0,0.0,0.0
2025-06-13,Manhattan,252791,255824.0,240713.0,262347.0
2025-06-13,Queens,160227,145941.0,161019.0,154768.0
2025-06-13,Staten Island,12620,11616.0,11738.0,12426.0
2025-06-14,Bronx,90667,98391.0,89109.0,92593.0
2025-06-14,Brooklyn,230973,195869.0,222452.0,217055.0
2025-06-14,EWR,0,0.0,0.0,0.0
2025-06-14,Manhattan,270749,252791.0,273173.0,288005.0
2025-06-14,Queens,162575,160227.0,165508.0,159229.0
2025-06-14,Staten Island,11028,12620.0,11050.0,10812.0
2025-06-15,Bronx,78707,90667.0,78868.0,78554.0
2025-06-15,Brooklyn,196624,230973.0,195431.0,188240.0
2025-06-15,EWR,0,0.0,0.0,0.0
2025-06-15,Manhattan,212191,270749.0,216277.0,225285.0
2025-06-15,Queens,145837,162575.0,154780.0,150050.0
2025-06-15,Staten Island,8751,11028.0,8906.0,8646.0
2025-06-16,Bronx,78508,78707.0,75082.0,74583.0
2025-06-16,Brooklyn,149600,196624.0,151456.0,131706.0
2025-06-16,EWR,0,0.0,0.0,0.0
2025-06-16,Manhattan,200697,212191.0,214471.0,200253.0
2025-06-16,Queens,136560,145837.0,137481.0,132088.0
2025-06-16,Staten Island,9795,8751.0,9704.0,9258.0
2025-06-17,Bronx,79130,78508.0,78246.0,78341.0
2025-06-17,Brooklyn,153910,149600.0,156295.0,136354.0
2025-06-17,EWR,0,0.0,0.0,0.0
2025-06-17,Manhattan,227132,200697.0,243916.0,231197.0
2025-06-17,Queens,129914,136560.0,134148.0,128669.0
2025-06-17,Staten Island,9979,9795.0,9841.0,9733.0
2025-06-18,Bronx,88486,79130.0,81200.0,86252.0
2025-06-18,Brooklyn,174710,153910.0,165026.0,162218.0
2025-06-18,EWR,0,0.0,0.0,0.0
2025-06-18,Manhattan,238605,227132.0,243602.0,248323.0
2025-06-18,Queens,147393,129914.0,137485.0,140646.0
2025-06-18,Staten Island,11581,9979.0,10529.0,11033.0
2025-06-19,Bronx,77700,88486.0,88921.0,90402.0
2025-06-19,Brooklyn,192222,174710.0,181606.0,176055.0
2025-06-19,EWR,0,0.0,0.0,0.0
2025-06-19,Manhattan,240697,238605.0,255824.0,258852.0
2025-06-19,Queens,145995,147393.0,145941.0,145188.0
2025-06-19,Staten Island,10337,11581.0,11616.0,10921.0
2025-06-20,Bronx,98093,77700.0,98391.0,95325.0
2025-06-20,Brooklyn,196637,192222.0,195869.0,189552.0
2025-06-20,EWR,0,0.0,0.0,0.0
2025-06-20,Manhattan,235725,240697.0,252791.0,240713.0
2025-06-20,Queens,164868,145995.0,160227.0,161019.0
2025-06-20,Staten Island,12257,10337.0,12620.0,11738.0
2025-06-21,Bronx,92549,98093.0,90667.0,89109.0
2025-06-21,Brooklyn,232507,196637.0,230973.0,222452.0
2025-06-21,EWR,0,0.0,0.0,0.0
2025-06-21,Manhattan,253932,235725.0,270749.0,273173.0
2025-06-21,Queens,166496,164868.0,162575.0,165508.0
2025-06-21,Staten Island,11375,12257.0,11028.0,11050.0
2025-06-22,Bronx,78277,92549.0,78707.0,78868.0
2025-06-22,Brooklyn,198202,232507.0,196624.0,195431.0
2025-06-22,EWR,0,0.0,0.0,0.0
2025-06-22,Manhattan,224851,253932.0,212191.0,216277.0
2025-06-22,Queens,156001,166496.0,145837.0,154780.0
2025-06-22,Staten Island,8938,11375.0,8751.0,8906.0
2025-06-23,Bronx,83971,78277.0,78508.0,75082.0
2025-06-23,Brooklyn,162571,198202.0,149600.0,151456.0
2025-06-23,EWR,0,0.0,0.0,0.0
2025-06-23,Manhattan,219939,224851.0,200697.0,214471.0
2025-06-23,Queens,153440,156001.0,136560.0,137481.0
2025-06-23,Staten Island,10526,8938.0,9795.0,9704.0
2025-06-24,Bronx,87797,83971.0,79130.0,78246.0
2025-06-24,Brooklyn,180128,162571.0,153910.0,156295.0
2025-06-24,EWR,0,0.0,0.0,0.0
2025-06-24,Manhattan,254464,219939.0,227132.0,243916.0
2025-06-24,Queens,152310,153440.0,129914.0,134148.0
2025-06-24,Staten Island,10948,10526.0,9979.0,9841.0
2025-06-25,Bronx,87807,87797.0,88486.0,81200.0
2025-06-25,Brooklyn,180260,180128.0,174710.0,165026.0
2025-06-25,EWR,0,0.0,0.0,0.0
2025-06-25,Manhattan,259013,254464.0,238605.0,243602.0
2025-06-25,Queens,148837,152310.0,147393.0,137485.0
2025-06-25,Staten Island,11682,10948.0,11581.0,10529.0
2025-06-26,Bronx,86877,87807.0,77700.0,88921.0
2025-06-26,Brooklyn,176758,180260.0,192222.0,181606.0
2025-06-26,EWR,0,0.0,0.0,0.0
2025-06-26,Manhattan,245044,259013.0,240697.0,255824.0
2025-06-26,Queens,147282,148837.0,145995.0,145941.0
2025-06-26,Staten Island,11812,11682.0,10337.0,11616.0
2025-06-27,Bronx,91397,86877.0,98093.0,98391.0
2025-06-27,Brooklyn,185131,176758.0,196637.0,195869.0
2025-06-27,EWR,0,0.0,0.0,0.0
2025-06-27,Manhattan,247557,245044.0,235725.0,252791.0
2025-06-27,Queens,156829,147282.0,164868.0,160227.0
2025-06-27,Staten Island,11672,11812.0,12257.0,12620.0
2025-06-28,Bronx,90770,91397.0,92549.0,90667.0
2025-06-28,Brooklyn,218921,185131.0,232507.0,230973.0
2025-06-28,EWR,0,0.0,0.0,0.0
2025-06-28,Manhattan,265450,247557.0,253932.0,270749.0
2025-06-28,Queens,160197,156829.0,166496.0,162575.0
2025-06-28,Staten Island,11176,11672.0,11375.0,11028.0
2025-06-29,Bronx,80376,90770.0,78277.0,78707.0
2025-06-29,Brooklyn,201733,218921.0,198202.0,196624.0
2025-06-29,EWR,0,0.0,0.0,0.0
2025-06-29,Manhattan,215743,265450.0,224851.0,212191.0
2025-06-29,Queens,153356,160197.0,156001.0,145837.0
2025-06-29,Staten Island,9423,11176.0,8938.0,8751.0
2025-06-30,Bronx,77228,80376.0,83971.0,78508.0
2025-06-30,Brooklyn,150011,201733.0,162571.0,149600.0
2025-06-30,EWR,0,0.0,0.0,0.0
2025-06-30,Manhattan,206105,215743.0,219939.0,200697.0
2025-06-30,Queens,132100,153356.0,153440.0,136560.0
2025-06-30,Staten Island,9658,9423.0,10526.0,9795.0
2025-07-01,Bronx,79555,77228.0,87797.0,79130.0
2025-07-01,Brooklyn,156591,150011.0,180128.0,153910.0
2025-07-01,EWR,0,0.0,0.0,0.0
2025-07-01,Manhattan,220678,206105.0,254464.0,227132.0
2025-07-01,Queens,134305,132100.0,152310.0,129914.0
2025-07-01,Staten Island,10301,9658.0,10948.0,9979.0
2025-07-02,Bronx,81816,79555.0,87807.0,88486.0
2025-07-02,Brooklyn,151696,156591.0,180260.0,174710.0
2025-07-02,EWR,0,0.0,0.0,0.0
2025-07-02,Manhattan,204577,220678.0,259013.0,238605.0
2025-07-02,Queens,134650,134305.0,148837.0,147393.0
2025-07-02,Staten Island,10671,10301.0,11682.0,11581.0
2025-07-03,Bronx,94283,81816.0,86877.0,77700.0
2025-07-03,Brooklyn,174025,151696.0,176758.0,192222.0
2025-07-03,EWR,0,0.0,0.0,0.0
2025-07-03,Manhattan,200144,204577.0,245044.0,240697.0
2025-07-03,Queens,147583,134650.0,147282.0,145995.0
2025-07-03,Staten Island,11994,10671.0,11812.0,10337.0
2025-07-04,Bronx,82574,94283.0,91397.0,98093.0
2025-07-04,Brooklyn,174047,174025.0,185131.0,196637.0
2025-07-04,EWR,0,0.0,0.0,0.0
2025-07-04,Manhattan,162950,200144.0,247557.0,235725.0
2025-07-04,Queens,143017,147583.0,156829.0,164868.0
2025-07-04,Staten Island,10393,11994.0,11672.0,12257.0
2025-07-05,Bronx,86684,82574.0,90770.0,92549.0
2025-07-05,Brooklyn,185967,174047.0,218921.0,232507.0
2025-07-05,EWR,0,0.0,0.0,0.0
2025-07-05,Manhattan,182268,162950.0,265450.0,253932.0
2025-07-05,Queens,147844,143017.0,160197.0,166496.0
2025-07-05,Staten Island,10216,10393.0,11176.0,11375.0
2025-07-06,Bronx,74313,86684.0,80376.0,78277.0
2025-07-06,Brooklyn,158990,185967.0,201733.0,198202.0
2025-07-06,EWR,0,0.0,0.0,0.0
2025-07-06,Manhattan,178541,182268.0,215743.0,224851.0
2025-07-06,Queens,144378,147844.0,153356.0,156001.0
2025-07-06,Staten Island,7854,10216.0,9423.0,8938.0
2025-07-07,Bronx,73958,74313.0,77228.0,83971.0
2025-07-07,Brooklyn,133878,158990.0,150011.0,162571.0
2025-07-07,EWR,0,0.0,0.0,0.0
2025-07-07,Manhattan,180375,178541.0,206105.0,219939.0
2025-07-07,Queens,131432,144378.0,132100.0,153440.0
2025-07-07,Staten Island,9242,7854.0,9658.0,10526.0
2025-07-08,Bronx,78343,73958.0,79555.0,87797.0
2025-07-08,Brooklyn,150738,133878.0,156591.0,180128.0
2025-07-08,EWR,0,0.0,0.0,0.0
2025-07-08,Manhattan,228042,180375.0,220678.0,254464.0
2025-07-08,Queens,131918,131432.0,134305.0,152310.0
2025-07-08,Staten Island,9791,9242.0,10301.0,10948.0
2025-07-09,Bronx,79203,78343.0,81816.0,87807.0
2025-07-09,Brooklyn,152359,150738.0,151696.0,180260.0
2025-07-09,EWR,0,0.0,0.0,0.0
2025-07-09,Manhattan,231692,228042.0,204577.0,259013.0
2025-07-09,Queens,137297,131918.0,134650.0,148837.0
2025-07-09,Staten Island,10092,9791.0,10671.0,11682.0
2025-07-10,Bronx,83952,79203.0,94283.0,86877.0
2025-07-10,Brooklyn,158664,152359.0,174025.0,176758.0
2025-07-10,EWR,0,0.0,0.0,0.0
2025-07-10,Manhattan,238492,231692.0,200144.0,245044.0
2025-07-10,Queens,135182,137297.0,147583.0,147282.0
2025-07-10,Staten Island,10414,10092.0,11994.0,11812.0
2025-07-11,Bronx,93511,83952.0,82574.0,91397.0
2025-07-11,Brooklyn,181899,158664.0,174047.0,185131.0
2025-07-11,EWR,0,0.0,0.0,0.0
2025-07-11,Manhattan,245328,238492.0,162950.0,247557.0
2025-07-11,Queens,152234,135182.0,143017.0,156829.0
2025-07-11,Staten Island,11716,10414.0,10393.0,11672.0
2025-07-12,Bronx,95749,93511.0,86684.0,90770.0
2025-07-12,Brooklyn,222680,181899.0,185967.0,218921.0
2025-07-12,EWR,0,0.0,0.0,0.0
2025-07-12,Manhattan,260150,245328.0,182268.0,265450.0
2025-07-12,Queens,158105,152234.0,147844.0,160197.0
2025-07-12,Staten Island,11058,11716.0,10216.0,11176.0
2025-07-13,Bronx,80576,95749.0,74313.0,80376.0
2025-07-13,Brooklyn,189844,222680.0,158990.0,201733.0
2025-07-13,EWR,0,0.0,0.0,0.0
2025-07-13,Manhattan,212850,260150.0,178541.0,215743.0
2025-07-13,Queens,148146,158105.0,144378.0,153356.0
2025-07-13,Staten Island,8562,11058.0,7854.0,9423.0
2025-07-14,Bronx,82304,80576.0,73958.0,77228.0
2025-07-14,Brooklyn,154635,189844.0,133878.0,150011.0
2025-07-14,EWR,0,0.0,0.0,0.0
2025-07-14,Manhattan,227003,212850.0,180375.0,206105.0
2025-07-14,Queens,145620,148146.0,131432.0,132100.0
2025-07-14,Staten Island,10313,8562.0,9242.0,9658.0
2025-07-15,Bronx,75777,82304.0,78343.0,79555.0
2025-07-15,Brooklyn,142863,154635.0,150738.0,156591.0
2025-07-15,EWR,0,0.0,0.0,0.0
2025-07-15,Manhattan,228383,227003.0,228042.0,220678.0
2025-07-15,Queens,138028,145620.0,131918.0,134305.0
2025-07-15,Staten Island,10029,10313.0,9791.0,10301.0
2025-07-16,Bronx,81512,75777.0,79203.0,81816.0
2025-07-16,Brooklyn,157858,142863.0,152359.0,151696.0
2025-07-16,EWR,0,0.0,0.0,0.0
2025-07-16,Manhattan,253131,228383.0,231692.0,204577.0
2025-07-16,Queens,135451,138028.0,137297.0,134650.0
2025-07-16,Staten Island,10426,10029.0,10092.0,10671.0
2025-07-17,Bronx,86600,81512.0,83952.0,94283.0
2025-07-17,Brooklyn,169991,157858.0,158664.0,174025.0
2025-07-17,EWR,0,0.0,0.0,0.0
2025-07-17,Manhattan,260280,253131.0,238492.0,200144.0
2025-07-17,Queens,148083,135451.0,135182.0,147583.0
2025-07-17,Staten Island,11357,10426.0,10414.0,11994.0
2025-07-18,Bronx,94066,86600.0,93511.0,82574.0
2025-07-18,Brooklyn,184990,169991.0,181899.0,174047.0
2025-07-18,EWR,0,0.0,0.0,0.0
2025-07-18,Manhattan,247011,260280.0,245328.0,162950.0
2025-07-18,Queens,155838,148083.0,152234.0,143017.0
2025-07-18,Staten Island,11951,11357.0,11716.0,10393.0
2025-07-19,Bronx,96444,94066.0,95749.0,86684.0
2025-07-19,Brooklyn,217385,184990.0,222680.0,185967.0
2025-07-19,EWR,0,0.0,0.0,0.0
2025-07-19,Manhattan,261255,247011.0,260150.0,182268.0
2025-07-19,Queens,162936,155838.0,158105.0,147844.0
2025-07-19,Staten Island,10954,11951.0,11058.0,10216.0
2025-07-20,Bronx,82465,96444.0,80576.0,74313.0
2025-07-20,Brooklyn,186872,217385.0,189844.0,158990.0
2025-07-20,EWR,0,0.0,0.0,0.0
2025-07-20,Manhattan,223024,261255.0,212850.0,178541.0
2025-07-20,Queens,152861,162936.0,148146.0,144378.0
2025-07-20,Staten Island,8845,10954.0,8562.0,7854.0
2025-07-21,Bronx,75725,82465.0,82304.0,73958.0
